Date/Time,EMS:All Zones Total Heating Energy {J}(Hourly),EMS:All Zones Total Heating Energy {J}(Monthly),EMS:All Zones Total Heating Energy {J}(RunPeriod),EMS:All Zones Total Cooling Energy {J}(Hourly),EMS:All Zones Total Cooling Energy {J}(Monthly),EMS:All Zones Total Cooling Energy {J}(RunPeriod) 
 01/07  11:00:00,49651710.6865313,,,0.0 
 01/07  12:00:00,41516823.9627334,,,0.0 
 01/07  13:00:00,46628826.9140204,,,0.0 
 01/07  14:00:00,48827682.7108894,,,0.0 
 01/07  15:00:00,46473782.2797243,,,0.0 
 01/07  16:00:00,47184224.488862,,,0.0 
 01/07  17:00:00,49097857.2266016,,,0.0 
 01/07  18:00:00,53457659.5454536,,,0.0 
 01/07  19:00:00,56245214.603979,,,0.0 
 01/07  20:00:00,56587233.1831222,,,0.0 
 01/07  21:00:00,62546121.0335808,,,0.0 
 01/07  22:00:00,62767908.1101221,,,0.0 
 01/07  23:00:00,63336903.6766095,,,0.0 
 01/07  24:00:00,68289601.1767063,,,0.0 
 01/08  01:00:00,68755603.752006,,,0.0 
 01/08  02:00:00,69245093.3761249,,,0.0 
 01/08  03:00:00,69626844.5055207,,,0.0 
 01/08  04:00:00,69873840.7652511,,,0.0 
 01/08  05:00:00,70268945.6590287,,,0.0 
 01/08  06:00:00,70813223.8180571,,,0.0 
 01/08  07:00:00,67182703.8549113,,,0.0 
 01/08  08:00:00,60011993.2815601,,,0.0 
 01/08  09:00:00,60132980.8562573,,,0.0 
 01/08  10:00:00,52022701.3900985,,,0.0 
 01/08  11:00:00,43002239.2492799,,,0.0 
 01/08  12:00:00,32281545.3558402,,,0.0 
 01/08  13:00:00,36455390.5104169,,,0.0 
 01/08  14:00:00,37779629.0455514,,,0.0 
 01/08  15:00:00,36054366.0722182,,,0.0 
 01/08  16:00:00,39175115.9311042,,,0.0 
 01/08  17:00:00,42921644.8303964,,,0.0 
 01/08  18:00:00,47756346.4366031,,,0.0 
 01/08  19:00:00,51165172.3172948,,,0.0 
 01/08  20:00:00,53394351.5842967,,,0.0 
 01/08  21:00:00,60762444.721807,,,0.0 
