"CombPer","Cap","IWB","ODB","TotCap","Power"
90.0,44.1,16.0,10.0,35.5,6.03
90.0,44.1,16.0,12.0,35.5,6.13
90.0,44.1,16.0,14.0,35.5,6.24
90.0,44.1,16.0,16.0,35.5,6.36
90.0,44.1,16.0,18.0,35.5,6.48
90.0,44.1,16.0,20.0,35.5,6.61
90.0,44.1,16.0,21.0,35.5,6.67
90.0,44.1,16.0,23.0,35.5,6.95
90.0,44.1,16.0,25.0,35.5,7.42
90.0,44.1,16.0,27.0,35.5,7.91
90.0,44.1,16.0,29.0,35.5,8.43
90.0,44.1,16.0,31.0,35.5,8.97
90.0,44.1,16.0,33.0,35.5,9.55
90.0,44.1,16.0,35.0,35.5,10.16
90.0,44.1,16.0,37.0,35.5,10.8
90.0,44.1,16.0,39.0,35.5,11.5
90.0,44.1,18.0,10.0,41.2,7.12
90.0,44.1,18.0,12.0,41.2,7.25
90.0,44.1,18.0,14.0,41.2,7.38
90.0,44.1,18.0,16.0,41.2,7.52
90.0,44.1,18.0,18.0,41.2,7.67
90.0,44.1,18.0,20.0,41.2,7.82
90.0,44.1,18.0,21.0,41.2,7.96
90.0,44.1,18.0,23.0,41.2,8.52
90.0,44.1,18.0,25.0,41.2,9.1
90.0,44.1,18.0,27.0,41.2,9.72
90.0,44.1,18.0,29.0,41.2,10.37
90.0,44.1,18.0,31.0,41.2,11.1
90.0,44.1,18.0,33.0,41.2,11.8
90.0,44.1,18.0,35.0,41.2,12.5
90.0,44.1,18.0,37.0,41.2,13.4
90.0,44.1,18.0,39.0,41.2,14.2
90.0,44.1,19.0,10.0,44.1,7.68
90.0,44.1,19.0,12.0,44.1,7.82
90.0,44.1,19.0,14.0,44.1,7.97
90.0,44.1,19.0,16.0,44.1,8.12
90.0,44.1,19.0,18.0,44.1,8.28
90.0,44.1,19.0,20.0,44.1,8.45
90.0,44.1,19.0,21.0,44.1,8.74
90.0,44.1,19.0,23.0,44.1,9.36
90.0,44.1,19.0,25.0,44.1,10.01
90.0,44.1,19.0,27.0,44.1,10.7
90.0,44.1,19.0,29.0,44.1,11.4
90.0,44.1,19.0,31.0,44.1,12.2
90.0,44.1,19.0,33.0,44.1,13.0
90.0,44.1,19.0,35.0,44.1,13.8
90.0,44.1,19.0,37.0,44.1,14.7
90.0,44.1,19.0,39.0,44.1,15.7
90.0,44.1,20.0,10.0,47.0,8.25
90.0,44.1,20.0,12.0,47.0,8.41
90.0,44.1,20.0,14.0,47.0,8.57
90.0,44.1,20.0,16.0,47.0,8.73
90.0,44.1,20.0,18.0,47.0,8.91
90.0,44.1,20.0,20.0,47.0,9.24
90.0,44.1,20.0,21.0,47.0,9.57
90.0,44.1,20.0,23.0,47.0,10.25
90.0,44.1,20.0,25.0,47.0,11.0
90.0,44.1,20.0,27.0,47.0,11.7
90.0,44.1,20.0,29.0,47.0,12.5
90.0,44.1,20.0,31.0,47.0,13.4
90.0,44.1,20.0,33.0,47.0,14.3
90.0,44.1,20.0,35.0,47.0,15.2
90.0,44.1,20.0,37.0,47.0,16.2
90.0,44.1,20.0,39.0,47.0,17.3
90.0,44.1,22.0,10.0,52.7,9.43
90.0,44.1,22.0,12.0,52.7,9.6
90.0,44.1,22.0,14.0,52.7,9.79
90.0,44.1,22.0,16.0,52.7,9.98
90.0,44.1,22.0,18.0,52.7,10.18
90.0,44.1,22.0,20.0,52.7,10.9
90.0,44.1,22.0,21.0,52.7,11.3
90.0,44.1,22.0,23.0,52.7,12.2
90.0,44.1,22.0,25.0,52.7,13.0
90.0,44.1,22.0,27.0,52.7,13.9
90.0,44.1,22.0,29.0,52.1,14.6
90.0,44.1,22.0,31.0,51.3,15.1
90.0,44.1,22.0,33.0,50.5,15.7
90.0,44.1,22.0,35.0,49.7,16.3
90.0,44.1,22.0,37.0,48.9,16.9
90.0,44.1,22.0,39.0,48.1,17.4
90.0,44.1,24.0,10.0,58.4,10.6
90.0,44.1,24.0,12.0,58.4,10.8
90.0,44.1,24.0,14.0,58.4,11.0
90.0,44.1,24.0,16.0,58.3,11.2
90.0,44.1,24.0,18.0,57.5,11.6
90.0,44.1,24.0,20.0,56.7,12.1
90.0,44.1,24.0,21.0,56.3,12.4
90.0,44.1,24.0,23.0,55.5,13.0
90.0,44.1,24.0,25.0,54.8,13.5
90.0,44.1,24.0,27.0,54.0,14.1
90.0,44.1,24.0,29.0,53.2,14.7
90.0,44.1,24.0,31.0,52.4,15.3
90.0,44.1,24.0,33.0,51.6,15.8
90.0,44.1,24.0,35.0,50.8,16.4
90.0,44.1,24.0,37.0,50.0,17.0
90.0,44.1,24.0,39.0,49.2,17.6
80.0,39.2,14.0,10.0,26.5,4.44
80.0,39.2,14.0,12.0,26.5,4.51
80.0,39.2,14.0,14.0,26.5,4.58
80.0,39.2,14.0,16.0,26.5,4.66
80.0,39.2,14.0,18.0,26.5,4.74
80.0,39.2,14.0,20.0,26.5,4.82
80.0,39.2,14.0,21.0,26.5,4.87
80.0,39.2,14.0,23.0,26.5,4.96
80.0,39.2,14.0,25.0,26.5,5.12
80.0,39.2,14.0,27.0,26.5,5.44
80.0,39.2,14.0,29.0,26.5,5.79
80.0,39.2,14.0,31.0,26.5,6.14
80.0,39.2,14.0,33.0,26.5,6.52
80.0,39.2,14.0,35.0,26.5,6.91
80.0,39.2,14.0,37.0,26.5,7.33
80.0,39.2,14.0,39.0,26.5,7.77
80.0,39.2,16.0,10.0,31.6,5.31
80.0,39.2,16.0,12.0,31.6,5.4
80.0,39.2,16.0,14.0,31.6,5.5
